User;Project;Task;Client;Notes;Date;Duration;Hours;From
"wojtekk61 ";"PIS";"Przygotować listę wymagań funkcjonalnych lub userstories";"";"";"11/01/2022";"1:00:00";"1";"7:58 pm"
"wojtekk61 ";"PIS";"Przygotować listę wymagań funkcjonalnych lub userstories";"";"";"11/02/2022";"0:46:00";"0.77";"9:26 pm"
"wojtekk61 ";"PIS";"Dokończyć event storming";"";"";"11/10/2022";"1:00:00";"1";"8:00 pm"
"wojtekk61 ";"PIS";"PIS-31 BE: Jako zamawiający, mogę rozpocząć zamówienie i dodawać do niego produkty";"";"";"11/22/2022";"0:29:00";"0.48";"9:31 pm"
"wojtekk61 ";"PIS";"PIS-31 BE: Jako zamawiający, mogę rozpocząć zamówienie i dodawać do niego produkty";"";"";"11/23/2022";"0:57:00";"0.95";"7:07 pm"
"wojtekk61 ";"PIS";"Dokończyć event storming";"";"";"11/24/2022";"0:48:00";"0.8";"7:45 pm"
"wojtekk61 ";"PIS";"PIS-31 BE: Jako zamawiający, mogę rozpocząć zamówienie i dodawać do niego produkty";"";"";"11/25/2022";"1:30:00";"1.5";"8:00 pm"
"wojtekk61 ";"PIS";"Dokończyć event storming";"";"";"11/26/2022";"0:51:00";"0.85";"5:00 pm"
"wojtekk61 ";"PIS";"PIS-37 BE: Jako administrator, mogę zdefiniować restauracje i ich produkty";"";"";"12/12/2022";"1:43:00";"1.72";"6:31 pm"
"wojtekk61 ";"PIS";"PIS-37 BE: Jako administrator, mogę zdefiniować restauracje i ich produkty";"";"";"12/15/2022";"0:35:00";"0.58";"10:44 pm"
"wojtekk61 ";"PIS";"PIS-37 BE: Jako administrator, mogę zdefiniować restauracje i ich produkty";"";"";"12/16/2022";"2:02:00";"2.03";"5:43 pm"
"wojtekk61 ";"PIS";"PIS-33 BE: Jako pracownik restauracji, mogę zaakceptować albo odrzucić opłacone zamówienie";"";"";"01/06/2023";"1:11:00";"1.18";"2:12 pm"
"wojtekk61 ";"PIS";"PIS-33 BE: Jako pracownik restauracji, mogę zaakceptować albo odrzucić opłacone zamówienie";"";"";"01/07/2023";"1:25:00";"1.42";"10:46 am"
"wojtekk61 ";"PIS";"PIS-33 BE: Jako pracownik restauracji, mogę zaakceptować albo odrzucić opłacone zamówienie";"";"";"01/07/2023";"1:17:00";"1.28";"4:58 pm"
